# ========
# captured on: Mon Jul 15 18:46:18 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match bitmap_8888_update --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 398, 399, 400, 401, 402, 403, 404, 405 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 32K of event 'cycles'
# Event count (approx.): 27329991817
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
    41.71%    bench  [kernel.kallsyms]        [k] 0xffffffff8103fe1a                                                                                                                                                                                                                                   
    12.04%    bench  bench                    [.] S32_D16_filter_DXDY(SkBitmapProcState const&, unsigned int const*, int, unsigned short*)                                                                                                                                                             
    10.97%    bench  bench                    [.] S32_D16_filter_DX(SkBitmapProcState const&, unsigned int const*, int, unsigned short*)                                                                                                                                                               
     5.51%    bench  bench                    [.] S32_opaque_D32_filter_DXDY_SSSE3(SkBitmapProcState const&, unsigned int const*, int, unsigned int*)                                                                                                                                                  
     4.50%    bench  bench                    [.] ClampX_ClampY_filter_affine_SSE2(SkBitmapProcState const&, unsigned int*, int, int, int)                                                                                                                                                             
     3.48%    bench  bench                    [.] _ZN12_GLOBAL__N_131S32_generic_D32_filter_DX_SSSE3ILb0EEEvRK17SkBitmapProcStatePKjiPj.isra.11                                                                                                                                                        
     3.36%    bench  libc-2.15.so             [.] 0x0000000000080d5a                                                                                                                                                                                                                                   
     1.71%    bench  bench                    [.] ClampX_ClampY_filter_scale_SSE2(SkBitmapProcState const&, unsigned int*, int, int, int)                                                                                                                                                              
     1.15%    bench  bench                    [.] SuperBlitter::blitH(int, int, int)                                                                                                                                                                                                                   
     1.07%    bench  bench                    [.] SkAlphaRuns::add(int, unsigned int, int, unsigned int, unsigned int, int)                                                                                                                                                                            
     0.99%    bench  bench                    [.] SkAlphaRuns::Break(short*, unsigned char*, int, int)                                                                                                                                                                                                 
     0.92%    bench  bench                    [.] SkRGB16_Shader16_Blitter::blitAntiH(int, int, unsigned char const*, short const*)                                                                                                                                                                    
     0.78%    bench  bench                    [.] S32_D565_Opaque(unsigned short*, unsigned int const*, int, unsigned int, int, int)                                                                                                                                                                   
     0.50%    bench  bench                    [.] SkBitmapProcShader::shadeSpan16(int, int, unsigned short*, int)                                                                                                                                                                                      
     0.50%    bench  bench                    [.] SkBitmapProcShader::shadeSpan(int, int, unsigned int*, int)                                                                                                                                                                                          
     0.43%    bench  bench                    [.] SkMatrix::RotTrans_xy(SkMatrix const&, float, float, SkPoint*)                                                                                                                                                                                       
     0.30%    bench  bench                    [.] SkARGB32_Shader_Blitter::blitAntiH(int, int, unsigned char const*, short const*)                                                                                                                                                                     
     0.30%    bench  libgallium.so            [.] 0x0000000000035699                                                                                                                                                                                                                                   
     0.29%    bench  nouveau_dri.so           [.] nouveau_fence_update                                                                                                                                                                                                                                 
     0.29%    bench  bench                    [.] _ZL17walk_convex_edgesP6SkEdgeN6SkPath8FillTypeEP9SkBlitteriiPFvS4_ibE.isra.23                                                                                                                                                                       
     0.29%    bench  libdricore.so            [.] 0x00000000000d8040                                                                                                                                                                                                                                   
     0.28%    bench  bench                    [.] S32_Blend_BlitRow32_SSE2(unsigned int*, unsigned int const*, int, unsigned int)                                                                                                                                                                      
     0.25%    bench  nouveau_dri.so           [.] 0x000000000003d371                                                                                                                                                                                                                                   
     0.20%    bench  bench                    [.] SkARGB32_Shader_Blitter::blitV(int, int, int, unsigned char)                                                                                                                                                                                         
     0.20%    bench  bench                    [.] SkAlphaRuns::reset(int)                                                                                                                                                                                                                              
     0.20%    bench  nouveau_dri.so           [.] nouveau_fence_wait                                                                                                                                                                                                                                   
     0.19%    bench  libc-2.15.so             [.] __sched_yield                                                                                                                                                                                                                                        
     0.19%    bench  bench                    [.] SkMatrix::ScaleTrans_xy(SkMatrix const&, float, float, SkPoint*)                                                                                                                                                                                     
     0.19%    bench  bench                    [.] SkBitmapProcState::maxCountForBufferSize(unsigned long) const                                                                                                                                                                                        
     0.15%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_reloc_emit                                                                                                                                                                                                                                   
     0.13%    bench  libdrm_nouveau.so.1.0.0  [.] 0x0000000000001bfd                                                                                                                                                                                                                                   
     0.12%    bench  bench                    [.] sk_atomic_dec(int*)                                                                                                                                                                                                                                  
     0.11%    bench  bench                    [.] _ZN8SkCanvas16commonDrawBitmapERK8SkBitmapPK7SkIRectRK8SkMatrixRK7SkPaint.constprop.79                                                                                                                                                               
     0.10%    bench  bench                    [.] GrInOrderDrawBuffer::flush()                                                                                                                                                                                                                         
     0.10%    bench  bench                    [.] sk_atomic_inc(int*)                                                                                                                                                                                                                                  
     0.08%    bench  libdricore.so            [.] _mesa_update_texture                                                                                                                                                                                                                                 
     0.08%    bench  bench                    [.] SkCanvas::drawBitmap(SkBitmap const&, float, float, SkPaint const*)                                                                                                                                                                                  
     0.08%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_emit_buffer                                                                                                                                                                                                                               
     0.07%    bench  bench                    [.] GrInOrderDrawBuffer::onDrawRect(SkRect const&, SkMatrix const*, SkRect const*, SkMatrix const*)                                                                                                                                                      
     0.07%    bench  libdricore.so            [.] _mesa_update_state_locked                                                                                                                                                                                                                            
     0.07%    bench  libpthread-2.15.so       [.] pthread_mutex_unlock                                                                                                                                                                                                                                 
     0.07%    bench  libc-2.15.so             [.] free                                                                                                                                                                                                                                                 
