# ========
# captured on: Mon Jul 15 18:40:29 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match bitmaprect --config 565 --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 366, 367, 368, 369, 370, 371, 372, 373 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 1540598171
#
# Overhead  Command           Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  ......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
    49.36%    bench  bench                   [.] S32_D565_Blend(unsigned short*, unsigned int const*, int, unsigned int, int, int)                                                                                                                                                                                                                                                                                                                                    
    29.25%    bench  bench                   [.] S32_D565_Opaque(unsigned short*, unsigned int const*, int, unsigned int, int, int)                                                                                                                                                                                                                                                                                                                                   
    13.92%    bench  [kernel.kallsyms]       [k] 0xffffffff8103fe1a                                                                                                                                                                                                                                                                                                                                                                                                   
     1.19%    bench  ld-2.15.so              [.] 0x0000000000009c1b                                                                                                                                                                                                                                                                                                                                                                                                   
     0.73%    bench  libGL.so.1.2            [.] 0x000000000001f8c4                                                                                                                                                                                                                                                                                                                                                                                                   
     0.69%    bench  bench                   [.] SkRTree::chooseSubtree(SkRTree::Node*, SkRTree::Branch*)                                                                                                                                                                                                                                                                                                                                                             
     0.45%    bench  libc-2.15.so            [.] 0x0000000000080388                                                                                                                                                                                                                                                                                                                                                                                                   
     0.43%    bench  bench                   [.] Sprite_D16_S32_BlitRowProc::blitRect(int, int, int, int)                                                                                                                                                                                                                                                                                                                                                             
     0.28%    bench  bench                   [.] SkDraw::drawBitmap(SkBitmap const&, SkMatrix const&, SkPaint const&) const                                                                                                                                                                                                                                                                                                                                           
     0.27%    bench  bench                   [.] SkCanvas::internalDrawBitmapRect(SkBitmap const&, SkRect const*, SkRect const&, SkPaint const*)                                                                                                                                                                                                                                                                                                                      
     0.23%    bench  bench                   [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessThan>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessThan)                                                                                                                                                                                                                                                                                            
     0.21%    bench  libexpat.so.1.5.2       [.] 0x000000000000f4cf                                                                                                                                                                                                                                                                                                                                                                                                   
     0.12%    bench  nouveau_dri.so          [.] 0x000000000003f3a8                                                                                                                                                                                                                                                                                                                                                                                                   
     0.12%    bench  bench                   [.] SkRTree::insert(SkRTree::Node*, SkRTree::Branch*, unsigned short)                                                                                                                                                                                                                                                                                                                                                    
     0.12%    bench  bench                   [.] SkRTree::distributeChildren(SkRTree::Branch*)                                                                                                                                                                                                                                                                                                                                                                        
     0.11%    bench  bench                   [.] SkDevice::drawBitmapRect(SkDraw const&, SkBitmap const&, SkRect const*, SkRect const&, SkPaint const&)                                                                                                                                                                                                                                                                                                               
