# ========
# captured on: Mon Jul 15 18:30:14 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match blurrect_boxfilter --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 326, 327, 328, 329, 330, 331, 332, 333 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 11K of event 'cycles'
# Event count (approx.): 9506848451
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
    92.10%    bench  bench                    [.] boxBlurInterp(unsigned char const*, int, unsigned char*, int, int, int, bool, unsigned char)                                                                                                                                                                                                                                                                                                                         
     2.52%    bench  [kernel.kallsyms]        [k] 0xffffffff8103fe1a                                                                                                                                                                                                                                                                                                                                                                                                   
     2.32%    bench  bench                    [.] boxBlur(unsigned char const*, int, unsigned char*, int, int, int, int, bool)                                                                                                                                                                                                                                                                                                                                         
     0.97%    bench  libc-2.15.so             [.] 0x000000000007f9a6                                                                                                                                                                                                                                                                                                                                                                                                   
     0.27%    bench  bench                    [.] SkBlurMask::Blur(SkMask*, SkMask const&, float, SkBlurMask::Style, SkBlurMask::Quality, SkIPoint*)                                                                                                                                                                                                                                                                                                                   
     0.18%    bench  ld-2.15.so               [.] 0x0000000000009176                                                                                                                                                                                                                                                                                                                                                                                                   
     0.18%    bench  libc-2.15.so             [.] malloc                                                                                                                                                                                                                                                                                                                                                                                                               
     0.13%    bench  libGL.so.1.2             [.] 0x000000000001bdb5                                                                                                                                                                                                                                                                                                                                                                                                   
     0.13%    bench  bench                    [.] SkRTree::chooseSubtree(SkRTree::Node*, SkRTree::Branch*)                                                                                                                                                                                                                                                                                                                                                             
     0.09%    bench  libpthread-2.15.so       [.] pthread_mutex_unlock                                                                                                                                                                                                                                                                                                                                                                                                 
     0.06%    bench  nouveau_dri.so           [.] 0x000000000003f67a                                                                                                                                                                                                                                                                                                                                                                                                   
     0.06%    bench  bench                    [.] SkMask::computeImageSize() const                                                                                                                                                                                                                                                                                                                                                                                     
     0.06%    bench  bench                    [.] Sk64::setMul(int, int)                                                                                                                                                                                                                                                                                                                                                                                               
     0.06%    bench  libpthread-2.15.so       [.] pthread_mutex_lock                                                                                                                                                                                                                                                                                                                                                                                                   
     0.05%    bench  libc-2.15.so             [.] free                                                                                                                                                                                                                                                                                                                                                                                                                 
