# ========
# captured on: Mon Jul 15 17:24:08 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match draw_stroke_rect_round --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 46, 47, 48, 49, 50, 51, 52, 53 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2286630672
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
    59.90%    bench  [kernel.kallsyms]        [k] 0xffffffff8103fe1a                                                                                                                                                                                                                                   
     3.74%    bench  libc-2.15.so             [.] 0x000000000008f110                                                                                                                                                                                                                                   
     2.18%    bench  bench                    [.] MaskSuperBlitter::blitH(int, int, int)                                                                                                                                                                                                               
     1.64%    bench  libgallium.so            [.] 0x000000000010f018                                                                                                                                                                                                                                   
     1.47%    bench  bench                    [.] _ZL10walk_edgesP6SkEdgeN6SkPath8FillTypeEP9SkBlitteriiPFvS4_ibE.isra.3.constprop.29                                                                                                                                                                  
     1.06%    bench  libdricore.so            [.] 0x00000000000cdbd5                                                                                                                                                                                                                                   
     1.06%    bench  bench                    [.] SkA8_Blitter::blitMask(SkMask const&, SkIRect const&)                                                                                                                                                                                                
     0.75%    bench  ld-2.15.so               [.] 0x000000000000f12c                                                                                                                                                                                                                                   
     0.46%    bench  libdricore.so            [.] _mesa_update_texture                                                                                                                                                                                                                                 
     0.46%    bench  libdrm_nouveau.so.1.0.0  [.] 0x0000000000002ad1                                                                                                                                                                                                                                   
     0.46%    bench  libGL.so.1.2             [.] 0x0000000000041710                                                                                                                                                                                                                                   
     0.42%    bench  bench                    [.] SkRTree::chooseSubtree(SkRTree::Node*, SkRTree::Branch*)                                                                                                                                                                                             
     0.42%    bench  libdricore.so            [.] _mesa_update_state_locked                                                                                                                                                                                                                            
