# ========
# captured on: Mon Jul 15 18:25:22 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match drawpointsdash --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 302, 303, 304, 305, 306, 307, 308, 309 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 10K of event 'cycles'
# Event count (approx.): 8822239113
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
     7.30%    bench  [kernel.kallsyms]        [k] 0xffffffff8103fe1a                                                                                                                                                                                                                                                                                                                                                                                                   
     5.09%    bench  bench                    [.] GrInOrderDrawBuffer::concatInstancedDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                                                                                                                                                                              
     4.74%    bench  bench                    [.] sk_atomic_inc(int*)                                                                                                                                                                                                                                                                                                                                                                                                  
     4.74%    bench  bench                    [.] GrBufferAllocPool::makeSpace(unsigned long, unsigned long, GrGeometryBuffer const**, unsigned long*)                                                                                                                                                                                                                                                                                                                 
     4.67%    bench  libc-2.15.so             [.] 0x000000000003a79f                                                                                                                                                                                                                                                                                                                                                                                                   
     4.32%    bench  bench                    [.] sk_atomic_dec(int*)                                                                                                                                                                                                                                                                                                                                                                                                  
     3.60%    bench  bench                    [.] _ZNK19GrInOrderDrawBuffer13needsNewStateEv.part.83                                                                                                                                                                                                                                                                                                                                                                   
     3.52%    bench  bench                    [.] GrDrawState::setFromPaint(GrPaint const&, SkMatrix const&, GrRenderTarget*)                                                                                                                                                                                                                                                                                                                                          
     3.08%    bench  bench                    [.] GrContext::drawRect(GrPaint const&, SkRect const&, float, SkMatrix const*)                                                                                                                                                                                                                                                                                                                                           
     3.00%    bench  bench                    [.] GrVertexBufferAllocPool::currentBufferVertices(unsigned long) const                                                                                                                                                                                                                                                                                                                                                  
     2.82%    bench  bench                    [.] _ZN9GrContext13prepareToDrawEPK7GrPaintNS_12BufferedDrawEPNS_18AutoRestoreEffectsE.constprop.82                                                                                                                                                                                                                                                                                                                      
     2.67%    bench  bench                    [.] SkGpuDevice::drawRect(SkDraw const&, SkRect const&, SkPaint const&)                                                                                                                                                                                                                                                                                                                                                  
     2.15%    bench  bench                    [.] _ZN12_GLOBAL__N_123skPaint2GrPaintNoShaderEP11SkGpuDeviceRK7SkPaintbbP7GrPaint.constprop.101                                                                                                                                                                                                                                                                                                                         
     2.09%    bench  bench                    [.] GrDrawTarget::drawIndexedInstances(GrPrimitiveType, int, int, int, SkRect const*)                                                                                                                                                                                                                                                                                                                                    
     2.03%    bench  bench                    [.] GrInOrderDrawBuffer::onDrawRect(SkRect const&, SkMatrix const*, SkRect const*, SkMatrix const*)                                                                                                                                                                                                                                                                                                                      
     1.94%    bench  bench                    [.] GrVertexBufferAllocPool::makeSpace(unsigned long, int, GrVertexBuffer const**, int*)                                                                                                                                                                                                                                                                                                                                 
     1.68%    bench  bench                    [.] GrDrawState::getVertexSize() const                                                                                                                                                                                                                                                                                                                                                                                   
     1.59%    bench  bench                    [.] GrAARectRenderer::geometryFillAARect(GrGpu*, GrDrawTarget*, SkRect const&, SkMatrix const&, SkRect const&, bool)                                                                                                                                                                                                                                                                                                     
     1.42%    bench  bench                    [.] SkDraw::drawPoints(SkCanvas::PointMode, unsigned long, SkPoint const*, SkPaint const&, bool) const                                                                                                                                                                                                                                                                                                                   
     1.31%    bench  bench                    [.] apply_aa_to_rect(GrDrawTarget*, SkRect const&, float, SkMatrix const*, SkMatrix*, SkRect*, bool*)                                                                                                                                                                                                                                                                                                                    
     1.21%    bench  bench                    [.] GrInOrderDrawBuffer::onDraw(GrDrawTarget::DrawInfo const&)                                                                                                                                                                                                                                                                                                                                                           
     1.10%    bench  bench                    [.] GrDrawState::setVertexAttribs(GrVertexAttrib const*, int)                                                                                                                                                                                                                                                                                                                                                            
     1.08%    bench  bench                    [.] GrDrawTarget::reserveVertexAndIndexSpace(int, int, void**, void**)                                                                                                                                                                                                                                                                                                                                                   
     0.93%    bench  bench                    [.] GrInOrderDrawBuffer::willReserveVertexAndIndexSpace(int, int)                                                                                                                                                                                                                                                                                                                                                        
     0.93%    bench  bench                    [.] GrDrawTarget::releasePreviousIndexSource()                                                                                                                                                                                                                                                                                                                                                                           
     0.88%    bench  bench                    [.] SkGpuDevice::prepareDraw(SkDraw const&, bool)                                                                                                                                                                                                                                                                                                                                                                        
     0.87%    bench  bench                    [.] GrDrawState::AutoRestoreEffects::set(GrDrawState*)                                                                                                                                                                                                                                                                                                                                                                   
     0.85%    bench  bench                    [.] GrGeometryBuffer::sizeInBytes() const                                                                                                                                                                                                                                                                                                                                                                                
     0.76%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_reloc_emit                                                                                                                                                                                                                                                                                                                                                                                                   
     0.74%    bench  libgallium.so            [.] 0x0000000000111b4d                                                                                                                                                                                                                                                                                                                                                                                                   
     0.72%    bench  libdricore.so            [.] 0x000000000015dfe0                                                                                                                                                                                                                                                                                                                                                                                                   
     0.69%    bench  bench                    [.] SkMatrix::mapPoints(SkPoint*, SkPoint const*, int) const                                                                                                                                                                                                                                                                                                                                                             
     0.64%    bench  bench                    [.] GrDrawTarget::releasePreviousVertexSource()                                                                                                                                                                                                                                                                                                                                                                          
     0.63%    bench  bench                    [.] GrDrawState::AutoViewMatrixRestore::setIdentity(GrDrawState*)                                                                                                                                                                                                                                                                                                                                                        
     0.62%    bench  bench                    [.] GrDrawTarget::AutoReleaseGeometry::~AutoReleaseGeometry()                                                                                                                                                                                                                                                                                                                                                            
     0.60%    bench  nouveau_dri.so           [.] 0x000000000003d37f                                                                                                                                                                                                                                                                                                                                                                                                   
     0.57%    bench  libdricore.so            [.] _mesa_update_state_locked                                                                                                                                                                                                                                                                                                                                                                                            
     0.53%    bench  bench                    [.] SkPoint::setRectFan(float, float, float, float, unsigned long)                                                                                                                                                                                                                                                                                                                                                       
     0.52%    bench  bench                    [.] GrBufferAllocPool::putBack(unsigned long)                                                                                                                                                                                                                                                                                                                                                                            
     0.50%    bench  bench                    [.] GrDrawTarget::pushGeometrySource()                                                                                                                                                                                                                                                                                                                                                                                   
     0.50%    bench  bench                    [.] GrDrawTarget::setIndexSourceToBuffer(GrIndexBuffer const*)                                                                                                                                                                                                                                                                                                                                                           
     0.48%    bench  bench                    [.] _ZN12GrDrawTarget23setupDstReadIfNecessaryEPNS_8DrawInfoE.constprop.69                                                                                                                                                                                                                                                                                                                                               
     0.43%    bench  bench                    [.] SkMatrix::Identity_pts(SkMatrix const&, SkPoint*, SkPoint const*, int)                                                                                                                                                                                                                                                                                                                                               
     0.42%    bench  bench                    [.] SkDashPathEffect::asPoints(SkPathEffect::PointData*, SkPath const&, SkStrokeRec const&, SkMatrix const&, SkRect const*) const                                                                                                                                                                                                                                                                                        
     0.42%    bench  libdrm_nouveau.so.1.0.0  [.] 0x0000000000001c76                                                                                                                                                                                                                                                                                                                                                                                                   
     0.39%    bench  bench                    [.] SkMatrix::mapRect(SkRect*, SkRect const&) const                                                                                                                                                                                                                                                                                                                                                                      
     0.38%    bench  bench                    [.] GrInOrderDrawBuffer::geometrySourceWillPop(GrDrawTarget::GeometrySrcState const&)                                                                                                                                                                                                                                                                                                                                    
     0.38%    bench  bench                    [.] GrInOrderDrawBuffer::releaseReservedVertexSpace()                                                                                                                                                                                                                                                                                                                                                                    
     0.38%    bench  bench                    [.] GrDrawTarget::popGeometrySource()                                                                                                                                                                                                                                                                                                                                                                                    
