# ========
# captured on: Mon Jul 15 18:01:41 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match path_fill_small_long_curved --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 198, 199, 200, 201, 202, 203, 204, 205 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 1K of event 'cycles'
# Event count (approx.): 1506764498
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................................................................................................................................................................................
#
    33.32%    bench  [kernel.kallsyms]        [k] 0xffffffff8103fe1a                                                                                                                                                                                                                                                                                                                                                                                                   
    17.86%    bench  bench                    [.] _ZL10walk_edgesP6SkEdgeN6SkPath8FillTypeEP9SkBlitteriiPFvS4_ibE.isra.3.constprop.29                                                                                                                                                                                                                                                                                                                                  
     9.99%    bench  bench                    [.] SkA8_Blitter::blitAntiH(int, int, unsigned char const*, short const*)                                                                                                                                                                                                                                                                                                                                                
     9.48%    bench  bench                    [.] SkAlphaRuns::Break(short*, unsigned char*, int, int)                                                                                                                                                                                                                                                                                                                                                                 
     9.05%    bench  bench                    [.] SkAlphaRuns::add(int, unsigned int, int, unsigned int, unsigned int, int)                                                                                                                                                                                                                                                                                                                                            
     5.61%    bench  bench                    [.] SuperBlitter::blitH(int, int, int)                                                                                                                                                                                                                                                                                                                                                                                   
     3.77%    bench  libc-2.15.so             [.] 0x000000000007f610                                                                                                                                                                                                                                                                                                                                                                                                   
     2.14%    bench  bench                    [.] SkQuadraticEdge::updateQuadratic()                                                                                                                                                                                                                                                                                                                                                                                   
     1.18%    bench  ld-2.15.so               [.] 0x00000000000188d0                                                                                                                                                                                                                                                                                                                                                                                                   
     0.80%    bench  libGL.so.1.2             [.] 0x000000000001fb51                                                                                                                                                                                                                                                                                                                                                                                                   
     0.49%    bench  bench                    [.] SkRTree::chooseSubtree(SkRTree::Node*, SkRTree::Branch*)                                                                                                                                                                                                                                                                                                                                                             
     0.42%    bench  libglsl.so               [.] 0x00000000000597e1                                                                                                                                                                                                                                                                                                                                                                                                   
     0.33%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessThan>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessThan)                                                                                                                                                                                                                                                                                            
     0.29%    bench  bench                    [.] SkFixedMul_portable(int, int)                                                                                                                                                                                                                                                                                                                                                                                        
     0.29%    bench  libfontconfig.so.1.4.4   [.] 0x000000000001d83a                                                                                                                                                                                                                                                                                                                                                                                                   
