# ========
# captured on: Sat Jul 13 00:57:31 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match path_stroke_small_long_line --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 30, 31, 32, 33, 34, 35, 36, 37 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 2207052684
#
# Overhead  Command            Shared Object                                                                                                                         Symbol
# ........  .......  .......................  .............................................................................................................................
#
    21.61%    bench  [kernel.kallsyms]        [k] 0xffffffff8103fe1a                                                                                                       
    19.86%    bench  bench                    [.] _ZL10walk_edgesP6SkEdgeN6SkPath8FillTypeEP9SkBlitteriiPFvS4_ibE.isra.3.constprop.29                                      
    15.22%    bench  bench                    [.] SkA8_Blitter::blitAntiH(int, int, unsigned char const*, short const*)                                                    
    14.99%    bench  bench                    [.] SkAlphaRuns::Break(short*, unsigned char*, int, int)                                                                     
     9.72%    bench  bench                    [.] SkAlphaRuns::add(int, unsigned int, int, unsigned int, unsigned int, int)                                                
     8.18%    bench  bench                    [.] SuperBlitter::blitH(int, int, int)                                                                                       
     2.97%    bench  libc-2.15.so             [.] 0x00000000000807b7                                                                                                       
     0.76%    bench  ld-2.15.so               [.] 0x000000000000c284                                                                                                       
     0.70%    bench  bench                    [.] void SkTIntroSort<SkEdge*, SkTPointerCompareLT<SkEdge> >(int, SkEdge**, SkEdge**, SkTPointerCompareLT<SkEdge>)           
     0.56%    bench  bench                    [.] SkRTree::chooseSubtree(SkRTree::Node*, SkRTree::Branch*)                                                                 
     0.44%    bench  libGL.so.1.2             [.] 0x000000000001f4c8                                                                                                       
     0.32%    bench  bench                    [.] SkDivBits(int, int, int)                                                                                                 
     0.28%    bench  bench                    [.] SkPath::lineTo(float, float)                                                                                             
     0.24%    bench  bench                    [.] SkEdgeBuilder::buildPoly(SkPath const&, SkIRect const*, int)                                                             
     0.23%    bench  libglsl.so               [.] 0x0000000000081b75                                                                                                       
     0.19%    bench  libexpat.so.1.5.2        [.] 0x000000000000f4cf                                                                                                       
     0.16%    bench  libc-2.15.so             [.] __libc_calloc                                                                                                            
     0.15%    bench  libglsl.so               [.] ir_reader::read_declaration(s_expression*)                                                                               
     0.12%    bench  bench                    [.] GrInOrderDrawBuffer::reset()                                                                                             
     0.12%    bench  bench                    [.] SkPath::reversePathTo(SkPath const&)                                                                                     
     0.12%    bench  libdricore.so            [.] 0x000000000015e000                                                                                                       
     0.10%    bench  libpthread-2.15.so       [.] pthread_mutex_unlock                                                                                                     
