# ========
# captured on: Mon Jul 15 18:02:56 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match path_stroke_small_sawtooth --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 206, 207, 208, 209, 210, 211, 212, 213 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1708399908
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
    31.54%    bench  [kernel.kallsyms]        [k] 0xffffffff8103fe1a                                                                                                                                                                                                                                   
    21.28%    bench  bench                    [.] _ZL10walk_edgesP6SkEdgeN6SkPath8FillTypeEP9SkBlitteriiPFvS4_ibE.isra.3.constprop.29                                                                                                                                                                  
     7.40%    bench  bench                    [.] SkAlphaRuns::add(int, unsigned int, int, unsigned int, unsigned int, int)                                                                                                                                                                            
     5.98%    bench  bench                    [.] SkAlphaRuns::Break(short*, unsigned char*, int, int)                                                                                                                                                                                                 
     4.55%    bench  bench                    [.] SuperBlitter::blitH(int, int, int)                                                                                                                                                                                                                   
     4.32%    bench  bench                    [.] SkA8_Blitter::blitAntiH(int, int, unsigned char const*, short const*)                                                                                                                                                                                
     2.92%    bench  libc-2.15.so             [.] 0x0000000000080479                                                                                                                                                                                                                                   
     2.58%    bench  bench                    [.] void SkTIntroSort<SkEdge*, SkTPointerCompareLT<SkEdge> >(int, SkEdge**, SkEdge**, SkTPointerCompareLT<SkEdge>)                                                                                                                                       
     1.46%    bench  bench                    [.] SkPath::lineTo(float, float)                                                                                                                                                                                                                         
     1.11%    bench  bench                    [.] SkEdgeBuilder::buildPoly(SkPath const&, SkIRect const*, int)                                                                                                                                                                                         
     1.05%    bench  ld-2.15.so               [.] 0x00000000000188d6                                                                                                                                                                                                                                   
     0.69%    bench  libGL.so.1.2             [.] 0x00000000000416a0                                                                                                                                                                                                                                   
     0.50%    bench  bench                    [.] SkPath::Iter::doNext(SkPoint*)                                                                                                                                                                                                                       
     0.50%    bench  bench                    [.] SkPath::reversePathTo(SkPath const&)                                                                                                                                                                                                                 
     0.49%    bench  bench                    [.] SkRTree::chooseSubtree(SkRTree::Node*, SkRTree::Branch*)                                                                                                                                                                                             
     0.45%    bench  bench                    [.] SkRect::setBoundsCheck(SkPoint const*, int)                                                                                                                                                                                                          
     0.40%    bench  libdricore.so            [.] 0x000000000015dfed                                                                                                                                                                                                                                   
     0.40%    bench  libgallium.so            [.] 0x000000000003567b                                                                                                                                                                                                                                   
     0.33%    bench  nouveau_dri.so           [.] 0x000000000003d37f                                                                                                                                                                                                                                   
     0.30%    bench  libglsl.so               [.] 0x0000000000056bcc                                                                                                                                                                                                                                   
     0.30%    bench  bench                    [.] SkPoint::setNormalize(float, float)                                                                                                                                                                                                                  
     0.29%    bench  bench                    [.] sort_edges(SkEdge**, int, SkEdge**)                                                                                                                                                                                                                  
     0.29%    bench  bench                    [.] SkFixedMul_portable(int, int)                                                                                                                                                                                                                        
     0.25%    bench  bench                    [.] SkRTree::distributeChildren(SkRTree::Branch*)                                                                                                                                                                                                        
     0.22%    bench  bench                    [.] sk_atomic_dec(int*)                                                                                                                                                                                                                                  
     0.20%    bench  libgallium.so            [.] st_draw_vbo                                                                                                                                                                                                                                          
     0.20%    bench  libdricore.so            [.] _mesa_update_state_locked                                                                                                                                                                                                                            
     0.17%    bench  libdrm_nouveau.so.1.0.0  [.] 0x0000000000002b50                                                                                                                                                                                                                                   
     0.17%    bench  libc-2.15.so             [.] __libc_calloc                                                                                                                                                                                                                                        
     0.15%    bench  bench                    [.] SkMatrix::Trans_pts(SkMatrix const&, SkPoint*, SkPoint const*, int)                                                                                                                                                                                  
     0.15%    bench  libpthread-2.15.so       [.] pthread_mutex_lock                                                                                                                                                                                                                                   
     0.15%    bench  libdricore.so            [.] _mesa_validate_pbo_teximage                                                                                                                                                                                                                          
     0.15%    bench  bench                    [.] SkStroke::strokePath(SkPath const&, SkPath*) const                                                                                                                                                                                                   
     0.15%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessThan>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessThan)                                                                                                                            
     0.15%    bench  bench                    [.] _ZN13SkPathStroker9preJoinToERK7SkPointPS0_S3_b.constprop.20                                                                                                                                                                                         
     0.15%    bench  bench                    [.] SkRTree::insert(SkRTree::Node*, SkRTree::Branch*, unsigned short)                                                                                                                                                                                    
     0.15%    bench  libpthread-2.15.so       [.] pthread_mutex_unlock                                                                                                                                                                                                                                 
     0.15%    bench  nouveau_dri.so           [.] nv50_vertex_arrays_validate                                                                                                                                                                                                                          
     0.15%    bench  bench                    [.] _ZN7GrGpuGL13uploadTexDataERKN11GrGLTexture4DescEbiiii13GrPixelConfigPKvm.constprop.101                                                                                                                                                              
     0.15%    bench  libexpat.so.1.5.2        [.] 0x0000000000004e47                                                                                                                                                                                                                                   
     0.14%    bench  bench                    [.] memset@plt                                                                                                                                                                                                                                           
     0.10%    bench  bench                    [.] SkPath::close()                                                                                                                                                                                                                                      
     0.10%    bench  libfontconfig.so.1.4.4   [.] 0x00000000000195db                                                                                                                                                                                                                                   
     0.10%    bench  bench                    [.] SkPoint::scale(float, SkPoint*) const                                                                                                                                                                                                                
     0.10%    bench  bench                    [.] GrSWMaskHelper::DrawPathMaskToTexture(GrContext*, SkPath const&, SkStrokeRec const&, SkIRect const&, bool, SkMatrix*)                                                                                                                                
     0.10%    bench  nouveau_dri.so           [.] nv50_draw_vbo                                                                                                                                                                                                                                        
     0.10%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_reloc_emit                                                                                                                                                                                                                                   
     0.10%    bench  bench                    [.] GrTexture::ComputeScratchKey(GrTextureDesc const&)                                                                                                                                                                                                   
     0.10%    bench  bench                    [.] GrSWMaskHelper::DrawToTargetWithPathMask(GrTexture*, GrDrawTarget*, SkIRect const&)                                                                                                                                                                  
     0.10%    bench  bench                    [.] SkCanvas::drawPath(SkPath const&, SkPaint const&)                                                                                                                                                                                                    
     0.10%    bench  bench                    [.] GrInOrderDrawBuffer::recordState()                                                                                                                                                                                                                   
     0.10%    bench  nouveau_dri.so           [.] nv50_screen_make_buffers_resident                                                                                                                                                                                                                    
     0.10%    bench  libgallium.so            [.] st_finalize_texture                                                                                                                                                                                                                                  
     0.10%    bench  libdricore.so            [.] _mesa_tex_target_to_face                                                                                                                                                                                                                             
     0.10%    bench  libdricore.so            [.] _mesa_valid_to_render                                                                                                                                                                                                                                
     0.10%    bench  bench                    [.] _ZN9GrContext15getPathRendererERK6SkPathRK11SkStrokeRecPK12GrDrawTargetbN19GrPathRendererChain8DrawTypeEPNS9_14StencilSupportE.constprop.91                                                                                                          
     0.10%    bench  libgallium.so            [.] st_validate_state                                                                                                                                                                                                                                    
