# ========
# captured on: Mon Jul 15 17:57:04 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match ratquad --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 174, 175, 176, 177, 178, 179, 180, 181 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 757  of event 'cycles'
# Event count (approx.): 421617564
#
# Overhead  Command           Shared Object                                                                                                                                                                                                   Symbol
# ........  .......  ......................  .......................................................................................................................................................................................................
#
    34.15%    bench  [kernel.kallsyms]       [k] 0xffffffff8103fe1a                                                                                                                                                                                 
    31.84%    bench  bench                   [.] SkConic::chopAt(float, SkConic*) const                                                                                                                                                             
    10.14%    bench  bench                   [.] SkConic::chop(SkConic*) const                                                                                                                                                                      
     4.68%    bench  ld-2.15.so              [.] 0x0000000000019946                                                                                                                                                                                 
     3.12%    bench  bench                   [.] SkRTree::chooseSubtree(SkRTree::Node*, SkRTree::Branch*)                                                                                                                                           
     2.77%    bench  libGL.so.1.2            [.] 0x000000000001f3c0                                                                                                                                                                                 
     1.66%    bench  libc-2.15.so            [.] 0x000000000014d543                                                                                                                                                                                 
     1.00%    bench  libfontconfig.so.1.4.4  [.] 0x000000000001d0dd                                                                                                                                                                                 
     0.79%    bench  libpthread-2.15.so      [.] pthread_mutex_unlock                                                                                                                                                                               
     0.79%    bench  libexpat.so.1.5.2       [.] 0x000000000000f536                                                                                                                                                                                 
     0.67%    bench  bench                   [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessThan>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessThan)                                                                          
