# ========
# captured on: Mon Jul 15 17:42:41 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match repeatTile --config 8888 --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 102, 103, 104, 105, 106, 107, 108, 109 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1730821549
#
# Overhead  Command           Shared Object                                                                                                                                   Symbol
# ........  .......  ......................  .......................................................................................................................................
#
    36.41%    bench  bench                   [.] S16_opaque_D32_nofilter_DX(SkBitmapProcState const&, unsigned int const*, int, unsigned int*)                                      
    17.59%    bench  bench                   [.] S32A_Opaque_BlitRow32_SSE2(unsigned int*, unsigned int const*, int, unsigned int)                                                  
    10.97%    bench  bench                   [.] SI8_opaque_D32_nofilter_DX(SkBitmapProcState const&, unsigned int const*, int, unsigned int*)                                      
    10.87%    bench  bench                   [.] repeatx_nofilter_trans(SkBitmapProcState const&, unsigned int*, int, int, int)                                                     
     8.07%    bench  [kernel.kallsyms]       [k] 0xffffffff8103fe1a                                                                                                                 
     7.15%    bench  libc-2.15.so            [.] 0x000000000007ef69                                                                                                                 
     1.40%    bench  bench                   [.] Repeat_S32_D32_nofilter_trans_shaderproc(SkBitmapProcState const&, int, int, unsigned int*, int)                                   
     1.12%    bench  ld-2.15.so              [.] 0x00000000000188d6                                                                                                                 
     0.84%    bench  bench                   [.] int_repeat(int, int)                                                                                                               
     0.73%    bench  libGL.so.1.2            [.] 0x000000000001f9b0                                                                                                                 
     0.66%    bench  bench                   [.] SkBitmapProcShader::shadeSpan(int, int, unsigned int*, int)                                                                        
     0.40%    bench  bench                   [.] memcpy@plt                                                                                                                         
     0.39%    bench  bench                   [.] SkRTree::chooseSubtree(SkRTree::Node*, SkRTree::Branch*)                                                                           
     0.34%    bench  bench                   [.] SkARGB32_Shader_Blitter::blitRect(int, int, int, int)                                                                              
     0.30%    bench  bench                   [.] SkRTree::distributeChildren(SkRTree::Branch*)                                                                                      
     0.25%    bench  libexpat.so.1.5.2       [.] 0x000000000000f4cf                                                                                                                 
     0.24%    bench  bench                   [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessThan>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessThan)          
     0.24%    bench  libfontconfig.so.1.4.4  [.] 0x000000000001bc47                                                                                                                 
