# ========
# captured on: Mon Jul 15 17:53:51 2013
# hostname : venture
# os release : 3.5.0-23-generic
# perf version : 3.5.7.2
# arch : x86_64
# nrcpus online : 8
# nrcpus avail : 8
# cpudesc : Intel(R) Core(TM) i7 CPU 870 @ 2.93GHz
# cpuid : GenuineIntel,6,30,5
# total memory : 3982968 kB
# cmdline : /usr/bin/perf_3.5.0-23 record ./out/Release/bench --repeat 10 --match rrects_1_stroke_4 --config GPU --timers wcg 
# event : name = cycles, type = 0, config = 0x0, config1 = 0x0, config2 = 0x0, excl_usr = 0, excl_kern = 0, id = { 158, 159, 160, 161, 162, 163, 164, 165 }
# HEADER_CPU_TOPOLOGY info available, use -I to display
# HEADER_NUMA_TOPOLOGY info available, use -I to display
# ========
#
# Samples: 2K of event 'cycles'
# Event count (approx.): 1706269220
#
# Overhead  Command            Shared Object                                                                                                                                                                                                                                                     Symbol
# ........  .......  .......................  .........................................................................................................................................................................................................................................................
#
    56.84%    bench  [kernel.kallsyms]        [k] 0xffffffff8103fe1a                                                                                                                                                                                                                                   
     3.87%    bench  libc-2.15.so             [.] 0x000000000008c52b                                                                                                                                                                                                                                   
     3.54%    bench  bench                    [.] SkA8_Blitter::blitAntiH(int, int, unsigned char const*, short const*)                                                                                                                                                                                
     2.98%    bench  bench                    [.] _ZL10walk_edgesP6SkEdgeN6SkPath8FillTypeEP9SkBlitteriiPFvS4_ibE.isra.3.constprop.29                                                                                                                                                                  
     2.49%    bench  bench                    [.] SkAlphaRuns::add(int, unsigned int, int, unsigned int, unsigned int, int)                                                                                                                                                                            
     1.89%    bench  bench                    [.] SkAlphaRuns::Break(short*, unsigned char*, int, int)                                                                                                                                                                                                 
     1.84%    bench  bench                    [.] SuperBlitter::blitH(int, int, int)                                                                                                                                                                                                                   
     0.96%    bench  ld-2.15.so               [.] 0x0000000000006ac3                                                                                                                                                                                                                                   
     0.82%    bench  libdricore.so            [.] 0x000000000003f380                                                                                                                                                                                                                                   
     0.72%    bench  nouveau_dri.so           [.] 0x000000000003f43e                                                                                                                                                                                                                                   
     0.67%    bench  bench                    [.] SkRTree::chooseSubtree(SkRTree::Node*, SkRTree::Branch*)                                                                                                                                                                                             
     0.56%    bench  libgallium.so            [.] 0x000000000011878e                                                                                                                                                                                                                                   
     0.53%    bench  libGL.so.1.2             [.] 0x0000000000041710                                                                                                                                                                                                                                   
     0.51%    bench  libc-2.15.so             [.] __libc_calloc                                                                                                                                                                                                                                        
     0.50%    bench  bench                    [.] SkCubicEdge::setCubic(SkPoint const*, SkIRect const*, int)                                                                                                                                                                                           
     0.41%    bench  bench                    [.] sk_atomic_inc(int*)                                                                                                                                                                                                                                  
     0.41%    bench  bench                    [.] SkFindCubicMaxCurvature(SkPoint const*, float*)                                                                                                                                                                                                      
     0.41%    bench  bench                    [.] SkStroke::strokePath(SkPath const&, SkPath*) const                                                                                                                                                                                                   
     0.41%    bench  bench                    [.] SkPathStroker::cubic_to(SkPoint const*, SkPoint const&, SkPoint const&, SkPoint*, SkPoint*, int)                                                                                                                                                     
     0.41%    bench  bench                    [.] SkCubicEdge::updateCubic()                                                                                                                                                                                                                           
     0.31%    bench  bench                    [.] void SkTIntroSort<SkEdge*, SkTPointerCompareLT<SkEdge> >(int, SkEdge**, SkEdge**, SkTPointerCompareLT<SkEdge>)                                                                                                                                       
     0.31%    bench  libdrm_nouveau.so.1.0.0  [.] 0x0000000000001c79                                                                                                                                                                                                                                   
     0.30%    bench  bench                    [.] GrInOrderDrawBuffer::flush()                                                                                                                                                                                                                         
     0.26%    bench  libglsl.so               [.] 0x0000000000081df1                                                                                                                                                                                                                                   
     0.26%    bench  bench                    [.] SkPoint::setNormalize(float, float)                                                                                                                                                                                                                  
     0.26%    bench  bench                    [.] SkFindUnitQuadRoots(float, float, float, float*)                                                                                                                                                                                                     
     0.26%    bench  nouveau_dri.so           [.] nv50_bufctx_emit_relocs                                                                                                                                                                                                                              
     0.26%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_bo_ref                                                                                                                                                                                                                                       
     0.25%    bench  libdricore.so            [.] _mesa_update_texture                                                                                                                                                                                                                                 
     0.25%    bench  libm-2.15.so             [.] __powf_finite                                                                                                                                                                                                                                        
     0.23%    bench  libexpat.so.1.5.2        [.] 0x00000000000048a9                                                                                                                                                                                                                                   
     0.21%    bench  libm-2.15.so             [.] 0x000000000002d6fc                                                                                                                                                                                                                                   
     0.21%    bench  bench                    [.] SkEdgeClipper::clipMonoCubic(SkPoint const*, SkRect const&)                                                                                                                                                                                          
     0.20%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_reloc_emit                                                                                                                                                                                                                                   
     0.20%    bench  bench                    [.] SkChopCubicAtYExtrema(SkPoint const*, SkPoint*)                                                                                                                                                                                                      
     0.20%    bench  libc-2.15.so             [.] vfprintf                                                                                                                                                                                                                                             
     0.20%    bench  bench                    [.] SkPath::cubicTo(float, float, float, float, float, float)                                                                                                                                                                                            
     0.19%    bench  bench                    [.] SkRect::setBoundsCheck(SkPoint const*, int)                                                                                                                                                                                                          
     0.17%    bench  nouveau_dri.so           [.] driIndexConfigAttrib                                                                                                                                                                                                                                 
     0.16%    bench  libdricore.so            [.] _mesa_update_state_locked                                                                                                                                                                                                                            
     0.15%    bench  bench                    [.] GrOvalRenderer::drawSimpleRRect(GrDrawTarget*, GrContext*, bool, SkRRect const&, SkStrokeRec const&)                                                                                                                                                 
     0.15%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_emit_reloc                                                                                                                                                                                                                           
     0.15%    bench  bench                    [.] SkCanvas::drawRoundRect(SkRect const&, float, float, SkPaint const&)                                                                                                                                                                                 
     0.15%    bench  libdrm_nouveau.so.1.0.0  [.] nouveau_pushbuf_flush                                                                                                                                                                                                                                
     0.15%    bench  bench                    [.] SkPath::close()                                                                                                                                                                                                                                      
     0.15%    bench  bench                    [.] SkAlphaRuns::reset(int)                                                                                                                                                                                                                              
     0.15%    bench  bench                    [.] SkEdgeBuilder::build(SkPath const&, SkIRect const*, int)                                                                                                                                                                                             
     0.15%    bench  bench                    [.] SkRTree::distributeChildren(SkRTree::Branch*)                                                                                                                                                                                                        
     0.15%    bench  libdricore.so            [.] vbo_sizeof_ib_type                                                                                                                                                                                                                                   
     0.15%    bench  bench                    [.] SkPath::lineTo(float, float)                                                                                                                                                                                                                         
     0.15%    bench  bench                    [.] GrSWMaskHelper::DrawToTargetWithPathMask(GrTexture*, GrDrawTarget*, SkIRect const&)                                                                                                                                                                  
     0.15%    bench  bench                    [.] void SkTIntroSort<SkRTree::Branch, SkRTree::RectLessThan>(int, SkRTree::Branch*, SkRTree::Branch*, SkRTree::RectLessThan)                                                                                                                            
     0.15%    bench  nouveau_dri.so           [.] nv50_vertex_arrays_validate                                                                                                                                                                                                                          
