[09:10:46.314074] running bench [640 480]          Xfermode_Luminosity  8888: msecs = 33.15,33.79,38.06,33.33,32.78,33.08,33.05,32.93,33.57,33.02,32.78,33.05,33.05,32.90,33.21,33.02,32.78,33.05,33.02,32.78 cmsecs = 32.66,32.75,35.53,32.99,32.78,32.81,32.72,32.78,32.99,32.78,32.78,32.81,32.81,32.87,32.93,32.78,32.78,32.78,32.78,32.78   565: msecs = 36.35,36.38,36.23,36.47,36.62,37.78,38.18,39.01,39.16,39.65,39.58,39.89,40.07,40.13,40.41,40.23,40.71,40.71,40.74,40.81 cmsecs = 36.14,36.14,36.23,36.26,36.41,37.57,38.18,38.79,38.94,39.31,39.58,39.68,39.86,39.92,40.07,40.23,40.50,40.50,40.53,40.56   GPU: msecs = 73.95,74.38,74.29,74.26,74.16,74.38,74.44,74.44,74.35,74.35,74.38,74.35,74.41,74.35,74.38,74.65,74.41,74.65,74.41,74.65 cmsecs = 21.94,22.34,21.55,21.58,22.10,21.27,20.91,21.36,21.52,21.09,21.30,21.55,21.33,21.15,21.30,21.82,21.24,21.52,21.12,21.70  NULLGPU: msecs = 2.26,2.26,2.29,2.26,2.26,2.26,2.29,2.26,2.26,2.23,2.59,2.26,2.26,2.26,2.26,2.29,2.26,2.26,2.23,2.29 cmsecs = 2.23,2.26,2.26,2.26,2.26,2.23,2.26,2.26,2.26,2.23,2.29,2.26,2.26,2.26,2.23,2.29,2.26,2.26,2.23,2.29
[09:10:52.321028] running bench [640 480]               Xfermode_Color  8888: msecs = 99.28,99.13,98.82,98.82,98.86,98.89,98.98,99.86,99.95,98.86,99.47,98.89,99.01,98.89,98.82,98.73,98.76,98.76,98.98,98.73 cmsecs = 98.58,98.58,98.28,98.28,98.31,98.34,98.43,98.55,98.64,98.31,98.46,98.31,98.43,98.31,98.25,98.18,98.21,98.18,98.31,98.18   565: msecs = 101.63,101.66,101.63,101.69,101.57,101.51,101.69,101.75,101.60,101.75,101.69,101.60,101.66,101.57,101.69,101.75,102.03,102.15,101.79,101.51 cmsecs = 101.08,101.11,101.08,101.14,100.99,100.96,101.14,101.08,101.05,101.08,101.14,101.05,101.11,101.02,101.14,101.21,101.18,101.30,101.11,100.96   GPU: msecs = 76.03,75.93,76.00,75.93,75.87,76.00,75.90,75.63,75.93,75.93,75.93,76.06,75.90,75.90,75.84,76.36,76.06,76.00,76.00,76.00 cmsecs = 21.82,21.76,21.76,21.33,21.36,21.36,21.49,19.47,21.43,21.79,21.58,21.61,21.58,21.64,21.58,21.46,21.30,21.43,21.49,21.12  NULLGPU: msecs = 2.23,2.23,2.23,2.26,2.26,2.26,2.23,2.53,2.26,2.23,2.23,2.23,2.26,2.23,2.23,2.23,2.29,2.23,2.23,2.23 cmsecs = 2.23,2.23,2.23,2.26,2.26,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.26,2.23,2.23,2.23,2.29,2.23,2.23,2.23
[09:10:55.324557] running bench [640 480]          Xfermode_Saturation  8888: msecs = 40.07,41.54,34.70,34.79,34.95,35.59,41.72,35.95,35.01,34.58,34.88,34.82,34.55,34.79,34.82,34.52,34.82,34.79,34.82,34.52 cmsecs = 35.01,35.22,34.67,34.46,34.55,34.67,37.23,35.34,34.73,34.58,34.58,34.55,34.55,34.52,34.55,34.49,34.52,34.52,34.55,34.52   565: msecs = 39.31,38.82,38.52,38.76,38.79,38.88,38.52,38.76,38.76,38.79,38.88,38.52,38.76,38.76,38.79,38.49,38.79,38.76,38.79,38.79 cmsecs = 38.73,38.55,38.52,38.49,38.52,38.49,38.52,38.49,38.49,38.52,38.49,38.52,38.49,38.49,38.52,38.49,38.49,38.49,38.52,38.52   GPU: msecs = 76.39,76.36,76.36,76.33,76.39,76.30,76.39,76.36,76.21,76.48,76.51,76.48,76.51,76.55,76.48,76.48,76.48,76.48,76.51,76.58 cmsecs = 21.82,21.39,21.61,21.55,21.64,21.61,21.82,21.55,20.11,21.55,22.01,21.39,21.58,21.52,21.39,21.49,21.70,21.39,21.64,21.58  NULLGPU: msecs = 2.26,2.29,2.23,2.26,2.26,2.26,2.56,2.23,2.26,2.26,2.26,2.26,2.26,2.23,2.29,2.23,2.26,2.26,2.26,2.26 cmsecs = 2.26,2.29,2.23,2.26,2.26,2.26,2.29,2.23,2.26,2.26,2.26,2.26,2.26,2.23,2.29,2.23,2.26,2.26,2.26,2.26
[09:10:59.829692] running bench [640 480]                 Xfermode_Hue  8888: msecs = 54.42,54.27,54.48,54.17,54.20,54.14,54.17,54.14,54.14,54.17,54.17,54.30,54.20,54.48,54.14,54.27,54.17,54.14,54.17,54.17 cmsecs = 54.11,53.96,53.93,53.90,53.93,53.84,53.90,53.87,53.87,53.90,53.87,53.90,53.93,53.93,53.87,53.87,53.90,53.87,53.87,53.90   565: msecs = 57.68,57.96,57.68,57.65,57.68,57.68,57.65,57.68,58.08,57.71,59.61,57.68,57.81,57.68,57.96,57.68,57.65,57.71,57.71,57.71 cmsecs = 57.41,57.41,57.38,57.38,57.41,57.41,57.38,57.41,57.41,57.41,57.59,57.41,57.41,57.41,57.41,57.41,57.38,57.41,57.38,57.41   GPU: msecs = 76.12,76.06,76.09,76.12,76.03,76.06,76.03,76.12,76.48,76.12,76.21,76.06,76.15,76.21,76.15,76.18,76.18,76.15,76.12,76.18 cmsecs = 21.33,21.55,21.43,21.36,21.27,21.55,21.61,21.73,21.49,21.64,21.39,21.27,21.30,21.55,21.64,21.36,21.46,21.49,21.18,21.33  NULLGPU: msecs = 2.26,2.26,2.26,2.23,2.23,2.23,2.29,2.23,2.23,2.23,2.26,2.26,2.23,2.23,2.56,2.23,2.26,2.23,2.23,2.29 cmsecs = 2.26,2.26,2.26,2.23,2.23,2.23,2.29,2.23,2.23,2.23,2.26,2.26,2.23,2.23,2.29,2.23,2.26,2.23,2.23,2.26
[09:11:02.332622] running bench [640 480]            Xfermode_Multiply  8888: msecs = 24.51,22.77,22.40,21.85,21.88,21.46,21.36,21.61,21.33,21.58,21.39,21.58,21.36,21.30,21.61,21.36,21.58,21.39,21.58,21.36 cmsecs = 22.74,22.71,22.10,21.85,21.61,21.46,21.36,21.33,21.33,21.27,21.36,21.30,21.36,21.30,21.33,21.36,21.30,21.39,21.27,21.36   565: msecs = 25.94,25.27,24.14,23.81,23.20,23.01,22.68,22.10,22.77,21.79,21.97,21.58,21.76,21.36,21.46,21.58,21.15,21.39,21.09,21.36 cmsecs = 25.91,25.00,24.14,23.53,23.16,22.71,22.40,22.10,22.19,21.79,21.67,21.55,21.49,21.36,21.33,21.30,21.15,21.12,21.06,21.06   GPU: msecs = 75.35,75.29,75.39,75.39,75.45,75.32,75.48,75.57,75.42,75.45,75.39,75.39,75.45,75.39,75.45,75.45,75.39,75.48,75.45,75.45 cmsecs = 21.33,21.39,21.61,21.36,21.70,21.09,21.39,21.52,21.76,21.36,21.27,21.36,21.58,21.39,21.30,21.15,21.46,21.30,21.09,21.30  NULLGPU: msecs = 2.29,2.23,2.26,2.26,2.23,2.29,2.26,2.23,2.26,2.26,2.26,2.26,2.23,2.53,2.26,2.23,2.26,2.23,2.29,2.23 cmsecs = 2.29,2.23,2.26,2.23,2.23,2.29,2.23,2.23,2.26,2.26,2.26,2.23,2.23,2.26,2.26,2.23,2.26,2.23,2.29,2.23
[09:11:04.835575] running bench [640 480]           Xfermode_Exclusion  8888: msecs = 25.73,23.99,24.11,23.81,24.05,23.78,24.05,23.90,24.08,23.84,24.02,23.81,24.05,23.74,24.08,23.74,24.05,23.74,23.74,24.05 cmsecs = 23.96,23.99,23.81,23.74,23.78,23.78,23.78,23.78,23.78,23.84,23.71,23.78,23.74,23.74,23.81,23.74,23.74,23.74,23.74,23.78   565: msecs = 26.83,26.77,26.46,26.74,26.49,26.74,26.46,26.77,26.49,26.74,26.49,26.74,26.46,26.77,26.43,26.74,26.71,26.46,26.86,26.46 cmsecs = 26.49,26.49,26.46,26.46,26.49,26.46,26.46,26.49,26.46,26.46,26.49,26.46,26.46,26.49,26.43,26.46,26.43,26.46,26.46,26.46   GPU: msecs = 74.71,74.71,74.65,74.74,74.77,74.77,74.81,74.74,74.74,74.74,74.77,74.77,74.81,74.81,74.74,74.41,73.98,74.84,74.77,74.77 cmsecs = 21.39,21.24,21.27,21.79,21.46,21.03,21.15,21.70,21.30,21.58,21.21,21.27,21.43,21.27,21.15,20.97,20.20,21.55,21.24,21.49  NULLGPU: msecs = 2.23,2.23,2.29,2.23,2.23,2.23,2.56,2.26,2.23,2.23,2.26,2.23,2.23,2.26,2.23,2.26,2.23,2.23,2.23,2.29 cmsecs = 2.23,2.23,2.29,2.23,2.23,2.23,2.26,2.23,2.23,2.23,2.26,2.23,2.23,2.26,2.23,2.26,2.23,2.23,2.23,2.29
[09:11:07.338510] running bench [640 480]          Xfermode_Difference  8888: msecs = 13.83,13.40,14.83,13.73,13.40,13.37,13.25,13.61,13.40,13.28,13.28,13.67,13.31,13.34,13.61,13.34,13.34,13.31,13.58,13.37 cmsecs = 13.49,13.37,13.40,13.43,13.40,13.37,13.25,13.31,13.40,13.28,13.28,13.37,13.31,13.34,13.34,13.34,13.34,13.31,13.31,13.37   565: msecs = 19.29,18.71,18.71,19.47,18.71,18.95,18.71,18.68,18.95,18.71,18.83,18.95,18.71,18.95,18.71,18.74,18.95,18.71,18.74,18.98 cmsecs = 18.80,18.71,18.71,18.89,18.71,18.68,18.68,18.68,18.68,18.68,18.71,18.68,18.71,18.68,18.71,18.74,18.68,18.71,18.74,18.71   GPU: msecs = 75.11,75.05,75.11,75.11,75.05,75.05,75.02,75.08,75.08,75.05,75.14,75.08,75.11,75.32,75.08,75.42,75.05,75.39,75.05,75.39 cmsecs = 21.30,21.30,21.33,21.36,21.39,21.24,21.21,21.18,21.27,21.61,21.30,21.52,21.27,21.30,21.70,21.61,21.61,21.64,21.58,21.21  NULLGPU: msecs = 2.23,2.38,2.23,2.23,2.23,2.26,2.23,2.23,2.23,2.56,2.23,2.23,2.23,2.23,2.26,2.23,2.23,2.23,2.26,2.23 cmsecs = 2.23,2.26,2.23,2.23,2.23,2.26,2.23,2.20,2.23,2.26,2.23,2.23,2.23,2.23,2.26,2.23,2.23,2.23,2.26,2.23
[09:11:15.347606] running bench [640 480]           Xfermode_SoftLight  8888: msecs = 144.03,143.81,143.72,143.45,143.69,143.84,143.72,143.87,143.72,143.69,143.72,143.42,143.84,143.84,143.72,155.87,144.12,144.30,143.81,144.79 cmsecs = 143.08,142.99,142.90,142.87,142.87,142.87,142.90,142.93,142.90,142.87,142.90,142.87,142.90,142.90,142.90,143.75,143.29,143.14,142.99,143.35   565: msecs = 145.06,144.79,145.06,145.03,145.09,150.19,145.22,145.09,145.06,145.06,145.06,145.06,144.91,145.15,145.06,145.06,145.03,145.09,145.03,145.19 cmsecs = 144.24,144.24,144.24,144.21,144.24,145.09,144.24,144.27,144.21,144.24,144.24,144.24,144.24,144.21,144.21,144.24,144.21,144.27,144.21,144.21   GPU: msecs = 76.00,75.97,75.93,75.93,75.97,75.93,75.90,75.93,75.97,76.06,76.09,76.06,76.12,76.06,76.39,76.00,76.03,76.03,76.09,76.09 cmsecs = 21.36,21.36,21.94,21.39,21.49,21.46,21.43,21.33,21.43,21.52,21.67,22.04,21.52,21.85,21.46,21.76,21.33,21.61,21.39,21.76  NULLGPU: msecs = 2.23,2.29,2.26,2.23,2.26,2.29,2.23,2.23,2.23,2.26,2.26,2.23,2.23,2.26,2.26,2.23,2.26,2.26,2.56,2.26 cmsecs = 2.23,2.29,2.23,2.23,2.23,2.26,2.23,2.23,2.23,2.26,2.26,2.23,2.23,2.26,2.26,2.23,2.23,2.23,2.26,2.23
[09:11:18.351071] running bench [640 480]           Xfermode_HardLight  8888: msecs = 35.71,34.15,33.88,34.09,34.18,33.39,33.54,33.45,33.30,33.54,33.45,33.18,33.51,33.42,33.15,33.54,33.45,33.18,33.51,33.45 cmsecs = 34.03,33.88,33.66,33.63,33.60,33.39,33.24,33.18,33.18,33.24,33.18,33.18,33.24,33.15,33.15,33.24,33.18,33.18,33.24,33.18   565: msecs = 36.59,36.59,36.44,36.04,36.26,36.23,36.11,35.86,36.04,36.04,36.17,35.74,35.95,35.92,35.68,35.86,36.04,35.89,35.59,35.89 cmsecs = 36.59,36.32,36.17,36.04,35.98,35.95,35.83,35.86,35.77,35.77,35.77,35.74,35.68,35.65,35.68,35.59,35.62,35.59,35.59,35.62   GPU: msecs = 75.45,75.42,75.51,75.51,75.54,75.48,75.48,75.48,75.54,75.48,75.51,75.54,75.54,75.51,75.45,75.51,75.45,75.60,75.48,75.51 cmsecs = 21.55,21.36,21.55,21.58,21.21,21.30,21.36,21.67,21.30,21.55,21.36,21.39,21.43,21.27,21.30,21.67,21.46,21.55,21.52,21.61  NULLGPU: msecs = 2.56,2.26,2.26,2.26,2.29,2.26,2.26,2.26,2.26,2.29,2.26,2.23,2.26,2.41,2.26,2.26,2.26,2.26,2.26,2.26 cmsecs = 2.29,2.26,2.26,2.26,2.29,2.26,2.26,2.26,2.26,2.29,2.26,2.23,2.26,2.29,2.26,2.26,2.26,2.26,2.26,2.26
[09:11:20.853963] running bench [640 480]           Xfermode_ColorBurn  8888: msecs = 22.07,21.18,20.69,20.94,21.15,24.69,23.38,25.48,21.21,20.66,20.94,20.69,20.91,20.69,20.63,20.97,21.09,21.03,20.69,20.66 cmsecs = 20.69,20.78,20.69,20.63,20.69,21.06,21.03,21.36,20.88,20.66,20.63,20.69,20.60,20.69,20.63,20.66,20.75,20.72,20.69,20.66   565: msecs = 26.00,25.70,25.97,25.70,25.94,25.70,25.94,25.70,25.94,25.70,25.97,25.67,25.97,25.67,25.97,25.73,25.94,25.70,25.94,25.82 cmsecs = 25.70,25.67,25.70,25.70,25.67,25.70,25.67,25.70,25.67,25.70,25.70,25.67,25.70,25.67,25.70,25.73,25.67,25.70,25.67,25.70   GPU: msecs = 75.57,75.57,75.54,75.63,75.66,75.63,75.60,75.69,75.69,75.97,75.66,75.63,75.63,75.69,75.66,75.72,75.72,75.72,75.66,75.72 cmsecs = 21.85,21.46,20.36,21.49,21.55,21.15,21.67,21.76,21.64,21.39,21.49,21.30,21.73,21.52,21.64,21.67,21.46,21.09,21.24,21.61  NULLGPU: msecs = 2.23,2.23,2.26,2.20,2.23,2.23,2.53,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23 cmsecs = 2.23,2.23,2.26,2.20,2.23,2.23,2.26,2.20,2.20,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.23,2.20,2.20
